City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
178,lihue,21.9789,-159.3672,26.77,72,40,6.69,US,1684970941
179,povoa de varzim,41.3834,-8.7636,20.55,77,0,2.57,PT,1684970967
180,yanam,16.7333,82.2167,26.91,95,80,1.17,IN,1684970967
181,margaret river,-33.95,115.0667,13.54,70,86,4.79,AU,1684970967
182,rio grande,-32.035,-52.0986,20.06,80,99,4.86,BR,1684970967
183,klaeng,12.7797,101.6483,28.59,84,92,2.16,TH,1684970967
184,singleton,-32.5667,151.1833,14.4,58,27,3.33,AU,1684970968
185,valdivia,-39.8142,-73.2459,11.05,92,73,3.32,CL,1684970935
186,touros,-5.1989,-35.4608,25.13,84,29,3.72,BR,1684970968
187,asaita,11.5636,41.4394,31.22,52,3,5.27,ET,1684970969
188,namsos,64.4662,11.4957,7.03,70,100,5.14,NO,1684970969
189,newport,51.5877,-2.9984,13.06,80,1,4.31,GB,1684970969
190,warmbad,-28.45,18.7333,16.87,31,100,3.54,NA,1684970970
191,guerrero negro,27.9769,-114.0611,19.51,59,38,7.9,MX,1684970970
192,ulsteinvik,62.3432,5.8487,9.86,83,89,8.49,NO,1684970970
193,kitzbuhel,47.4464,12.3922,11.07,92,98,0.97,AT,1684970970
194,port lincoln,-34.7333,135.8667,14.79,72,100,6.22,AU,1684970971
195,carboneras,37.0015,-1.9213,17.4,74,39,1.19,ES,1684970971
196,dryden,49.7833,-92.7503,16.16,25,0,4.63,CA,1684970971
197,tsiombe,-25.3,45.4833,16.47,70,2,2.46,MG,1684970971
198,urangan,-25.3,152.9,18.72,71,2,3.57,AU,1684970972
199,weno,7.4515,151.8468,29.97,74,75,1.54,FM,1684970972
200,zhangye,38.9342,100.4517,13.11,29,80,1.07,CN,1684970972
201,yugo-kamskiy,57.7053,55.5894,12.01,57,18,1.5,RU,1684970972
202,bikenibeu village,1.3673,173.1241,29.98,79,40,2.06,KI,1684970972
203,ola,59.5833,151.2833,7.86,73,96,1.03,RU,1684970973
204,sumbawa besar,-8.5,117.4333,22.06,88,6,2.02,ID,1684970973
205,klyuchi,52.2667,79.1667,10.96,50,13,3.32,RU,1684970973
206,vorgashor,67.5833,63.95,8.3,79,3,3.93,RU,1684970973
207,arraial do cabo,-22.9661,-42.0278,17.98,94,0,1.03,BR,1684970973
208,santo antonio,-6.3106,-35.4789,22.75,91,11,2.66,BR,1684970974
209,luanda,-8.8368,13.2343,26.0,83,75,3.09,AO,1684970748
210,enewetak,11.3474,162.3373,27.94,77,96,6.66,MH,1684970974
211,conceicao do araguaia,-8.2578,-49.2647,26.52,70,93,0.88,BR,1684970974
212,merizo village,13.2658,144.6691,25.88,90,100,20.91,GU,1684970975
213,san jose,37.3394,-121.895,24.93,50,20,5.14,US,1684970823
214,port alfred,-33.5906,26.891,20.14,38,68,4.64,ZA,1684970975
215,port-vila,-17.7338,168.3219,24.78,65,75,3.6,VU,1684970975
216,krasnovishersk,60.4078,57.082,14.13,68,65,1.84,RU,1684970975
217,ciudad acuna,29.3232,-100.9522,31.32,47,20,7.2,MX,1684970976
218,gao,16.6362,1.637,36.96,15,90,2.49,ML,1684970976
219,vila velha,-20.3297,-40.2925,20.97,94,75,2.57,BR,1684970732
220,zouerate,22.7187,-12.4521,25.0,33,90,2.41,MR,1684970976
221,ravar,31.2656,56.8055,27.3,20,34,2.02,IR,1684970977
222,inarajan village,13.2736,144.7484,26.11,89,100,19.8,GU,1684970977
223,cole harbour,44.6724,-63.4751,7.66,93,43,4.63,CA,1684970977
224,yima,34.7381,111.8839,16.6,75,97,0.41,CN,1684970977
225,aykhal,66.0,111.5,-0.34,90,100,6.51,RU,1684970977
226,sao vicente,-23.9631,-46.3919,23.48,89,5,1.22,BR,1684970978
227,mount isa,-20.7333,139.5,21.87,35,2,2.57,AU,1684970978
228,bardai,11.65,7.2333,27.42,55,47,3.6,NG,1684970978
229,ulladulla,-35.35,150.4667,15.7,40,59,3.84,AU,1684970978
230,new norfolk,-42.7826,147.0587,11.72,73,79,2.24,AU,1684970979
231,san antonio de pale,-1.4014,5.6325,26.63,87,82,4.19,GQ,1684970979
232,codrington,-38.2667,141.9667,11.36,93,100,5.15,AU,1684970979
233,mandideep,23.0817,77.5333,30.61,34,41,6.52,IN,1684970979
234,aasiaat,68.7098,-52.8699,-2.11,82,74,3.29,GL,1684970979
235,nolinsk,57.5596,49.9363,15.33,68,89,2.45,RU,1684970980
236,burang,30.25,81.1667,1.2,83,94,2.76,CN,1684970980
237,mpongwe,-13.5091,28.155,14.46,69,3,2.04,ZM,1684970980
238,khandyga,62.6667,135.6,9.29,49,86,0.77,RU,1684970980
239,khorixas,-20.3667,14.9667,16.63,47,2,0.52,NA,1684970980
240,nuuk,64.1835,-51.7216,2.34,80,75,7.2,GL,1684970981
241,tamandare,-8.7597,-35.1047,24.8,88,1,1.01,BR,1684970981
242,fisterra,42.9049,-9.2629,17.79,80,42,7.04,ES,1684970981
243,namibe,-15.1961,12.1522,20.75,75,1,3.77,AO,1684970981
244,howrah,22.5892,88.3103,26.0,89,20,2.06,IN,1684970982
245,selkirk,50.1436,-96.8845,18.43,52,45,4.92,CA,1684970982
246,khanty-mansiysk,61.0042,69.0019,8.06,93,0,0.0,RU,1684970982
247,kirkland lake,48.1446,-80.0377,9.16,31,0,3.09,CA,1684970982
248,altay,47.8667,88.1167,10.71,59,4,1.57,CN,1684970982
249,haiku-pauwela,20.9219,-156.3051,29.01,48,40,12.86,US,1684970983
250,bridgewater,44.3835,-64.5155,8.39,95,31,3.6,CA,1684970983
251,luderitz,-26.6481,15.1594,12.21,86,73,1.76,NA,1684970983
252,santo domingo,18.5001,-69.9886,26.82,94,75,4.12,DO,1684970857
253,eureka,40.8021,-124.1637,23.15,69,6,4.02,US,1684970786
254,college,64.8569,-147.8028,21.16,33,75,2.06,US,1684970984
255,salinopolis,-0.6136,-47.3561,26.69,83,98,5.51,BR,1684970984
256,sechura,-5.5569,-80.8222,26.39,65,69,7.77,PE,1684970984
257,rabo de peixe,37.8,-25.5833,15.73,77,40,2.57,PT,1684970985
258,ar ruways,24.1103,52.7306,30.46,53,100,4.7,AE,1684970985
259,bambanglipuro,-7.95,110.2833,24.65,85,71,2.67,ID,1684970985
260,mont-dore,-22.2833,166.5833,23.99,99,85,4.38,NC,1684970985
261,constitucion,-35.3333,-72.4167,12.82,82,98,1.88,CL,1684970757
262,as samawah,31.332,45.2944,32.85,25,100,4.38,IQ,1684970986
263,tyukhtet,56.5389,89.3011,1.14,70,8,1.99,RU,1684970986
264,mana,5.6592,-53.7767,25.93,91,88,2.9,GF,1684970986
265,sakaiminato,35.55,133.2333,17.99,59,75,2.06,JP,1684970986
266,oranjemund,-28.55,16.4333,12.86,83,88,3.85,NA,1684970987
267,sena madureira,-9.0656,-68.6569,22.32,99,100,0.56,BR,1684970987
268,pleiku,13.9833,108.0,21.05,95,100,1.24,VN,1684970987
269,bandarbeyla,9.4942,50.8122,27.73,76,92,8.26,SO,1684970739
270,ghat,24.9647,10.1728,29.41,12,88,1.56,LY,1684970988
271,celestun,20.8667,-90.4,28.35,65,3,6.4,MX,1684970988
272,dinapore,25.6333,85.05,26.98,89,53,2.57,IN,1684970988
273,badr hunayn,23.7829,38.7905,29.22,47,1,0.82,SA,1684970988
274,kuala belait,4.5833,114.1833,25.09,90,100,2.06,BN,1684970988
275,fish town,5.1964,-7.8756,23.39,99,100,0.98,LR,1684970989
276,essaouira,31.5125,-9.77,17.72,79,20,1.54,MA,1684970989
277,katiola,8.1333,-5.1,27.35,82,84,1.36,CI,1684970989
278,ballina,-28.8667,153.5667,18.21,69,1,1.8,AU,1684970944
279,nova vicosa,-17.8919,-39.3719,23.42,85,33,5.44,BR,1684970725
280,souillac,-20.5167,57.5167,23.06,81,24,2.06,MU,1684970990
281,linhares,-19.3911,-40.0722,19.89,86,11,1.74,BR,1684970990
282,ibiza,38.9088,1.433,18.78,83,0,0.45,ES,1684970991
283,calvinia,-31.4707,19.776,8.37,61,98,2.07,ZA,1684970991
284,lepsy,46.235,78.9456,14.84,43,54,0.88,KZ,1684970991
285,gazli,40.1333,63.45,22.51,17,0,4.74,UZ,1684970991
286,kirensk,57.7853,108.1119,2.39,98,100,3.8,RU,1684970991
287,shimla,31.1,77.1667,12.38,81,100,2.51,IN,1684970992
288,fort mcmurray,56.7268,-111.381,15.77,58,100,6.17,CA,1684970726
289,wanparti,16.3667,78.0667,29.74,50,79,5.14,IN,1684970992
290,newman,37.3138,-121.0208,25.72,34,2,4.47,US,1684970992
291,alice springs,-23.7,133.8833,10.75,54,0,0.51,AU,1684970992
292,sisimiut,66.9395,-53.6735,0.6,75,39,2.33,GL,1684970993
293,mananjary,-21.2167,48.3333,19.36,91,88,2.73,MG,1684970993
294,gornopravdinsk,60.05,69.9,11.67,92,66,2.24,RU,1684970993
295,manismata,-2.4667,111.0333,23.42,95,100,1.23,ID,1684970993
296,conception bay south,47.4999,-52.9981,8.53,83,0,1.96,CA,1684970994
297,longyearbyen,78.2186,15.6401,2.91,75,75,6.17,SJ,1684970994
298,forster,-32.1667,152.5167,15.21,66,48,2.09,AU,1684970994
299,abalak,58.1286,68.5944,12.63,92,85,2.12,RU,1684970994
300,itacarambi,-15.1022,-44.0919,23.4,42,12,1.47,BR,1684970994
301,mokhsogollokh,61.4681,128.9203,9.09,57,87,0.98,RU,1684970996
302,idri,27.5,13.2667,28.61,9,100,3.98,LY,1684970996
303,chonchi,-42.6128,-73.8092,7.56,83,49,3.87,CL,1684970996
304,dzilam gonzalez,21.2833,-88.9333,28.44,65,0,4.69,MX,1684970996
305,vernon,50.2581,-119.2691,21.17,48,72,3.13,CA,1684970948
306,nishinoomote,30.7333,131.0,21.94,55,59,6.27,JP,1684970997
307,kandi,11.1342,2.9386,27.78,63,82,2.98,BJ,1684970997
308,regina,50.4501,-104.6178,26.06,52,100,10.29,CA,1684970997
309,paita,-5.0892,-81.1144,24.51,77,25,7.67,PE,1684970997
310,tamanrasset,22.785,5.5228,25.95,11,0,7.2,DZ,1684970998
311,nizhneudinsk,54.9076,99.0276,3.27,72,76,4.62,RU,1684970998
312,kalmunai,7.4167,81.8167,26.2,83,5,2.07,LK,1684970998
313,katabu,-4.9333,122.5167,24.51,93,66,1.49,ID,1684970998
314,letlhakane,-21.4167,25.5833,19.06,26,22,3.7,BW,1684970999
315,linxia chengguanzhen,35.6003,103.2064,11.35,57,98,1.42,CN,1684970999
316,kolokani,13.5728,-8.0339,36.45,22,100,4.96,ML,1684970999
317,waiuku,-37.25,174.75,16.64,70,12,0.76,NZ,1684970999
318,qaqortoq,60.7167,-46.0333,0.57,100,100,4.27,GL,1684971000
319,contai,21.7786,87.7536,28.27,83,37,3.28,IN,1684971000
320,zabol,32.25,67.25,18.2,28,0,2.22,AF,1684971000
321,lazaro cardenas,17.9583,-102.2,29.06,68,89,4.77,MX,1684971001
